"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Проверка входящих запросов","5","0","Валидация формата токена","0"
"0","","0","Жизненный цикл сессии","1","0","Выход после входа","0"
"0","","0","Проверка входящих запросов","6","0","Проверка ключа доступа","0"
"0","","0","Проверка входящих запросов","3","0","Проверка формата токена для разных действий","0"
"0","","0","Жизненный цикл сессии","1","0","После выхода из учетной записи доступное ранее действие становится недоступным","0"
"0","","0","Выполнение действия","1","0","Попытка выполнения действия без входа","0"
"0","","0","Проверка входящих запросов","2","0","Проверка обязательных параметров","0"
"0","","0","Выполнение действия","1","0","Ошибка внешнего сервиса при выполнении действия","0"
"0","","0","Жизненный цикл сессии","1","0","Выход без активной сессии","0"
"0","","0","Выполнение действия","1","0","Успешное выполнение действия","0"
"0","","0","Вход пользователя","1","0","Ошибка входа с токеном переданным ранее","0"
"0","","0","Проверка входящих запросов","1","0","Проверка типа действия","0"
"0","","0","Вход пользователя","1","0","Ошибка входа","0"
"0","","0","Выполнение действия","1","0","Действие после неуспешного входа","0"
"0","","0","Вход пользователя","1","0","Успешный вход","0"
